2026-04-06 13:30:04,403 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 13:35:56,480 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 13:35:56,674 | INFO | scraper | Saved 25 records to D:\Housing Int\real_estate_scraper\data\raw\rent\rightmove_rent_2026-04-06T12-35-56.481137+00-00.csv and inserted 25 new rows into D:\Housing Int\real_estate_scraper\database\raw_data.db
2026-04-06 13:45:48,771 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 13:45:48,845 | INFO | scraper | Inserted 1 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 13:48:25,496 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 13:48:25,555 | INFO | scraper | Inserted 1 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 13:49:42,438 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 13:49:42,502 | INFO | scraper | Inserted 1 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 13:51:10,662 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 13:51:10,729 | INFO | scraper | Inserted 1 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 13:53:56,857 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 13:53:56,921 | INFO | scraper | Inserted 1 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 13:57:27,600 | INFO | scraper | Scrape finished with 24 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 13:57:27,603 | INFO | scraper | Inserted 0 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 14:02:06,311 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 14:02:06,392 | INFO | scraper | Inserted 1 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 14:03:51,100 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 14:03:51,164 | INFO | scraper | Inserted 1 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 14:03:52,259 | INFO | scraper | Scrape finished with 25 records in buy mode from https://www.rightmove.co.uk/property-for-sale/CV.html
2026-04-06 14:03:52,323 | INFO | scraper | Inserted 25 new buy rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 0 duplicates
2026-04-06 14:06:31,322 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 14:06:31,446 | INFO | scraper | Inserted 1 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 14:06:32,706 | INFO | scraper | Scrape finished with 25 records in buy mode from https://www.rightmove.co.uk/property-for-sale/CV.html
2026-04-06 14:06:32,771 | INFO | scraper | Inserted 1 new buy rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 24 duplicates
2026-04-06 14:08:26,577 | INFO | scraper | Scrape finished with 25 records in rent mode from https://www.rightmove.co.uk/property-to-rent/CV.html
2026-04-06 14:08:26,989 | INFO | scraper | Inserted 25 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 0 duplicates
2026-04-06 14:08:27,969 | INFO | scraper | Scrape finished with 25 records in buy mode from https://www.rightmove.co.uk/property-for-sale/CV.html
2026-04-06 14:08:28,039 | INFO | scraper | Inserted 25 new buy rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 0 duplicates
2026-04-06 14:35:08,031 | INFO | scraper | Scrape finished with 26 records in rent mode for target 'London' page 1 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:08,865 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'London' page 2 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:09,663 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'London' page 3 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:35:10,825 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'London' page 4 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:35:11,609 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'London' page 5 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:35:12,346 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'Central London' page 1 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:13,091 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'Central London' page 2 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:14,085 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'Central London' page 3 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:35:14,900 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'Central London' page 4 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:35:15,599 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'Central London' page 5 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:35:16,756 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'Wimbledon' page 1 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:17,558 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'Wimbledon' page 2 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:18,387 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'Wimbledon' page 3 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:35:19,071 | INFO | scraper | Scrape finished with 15 records in rent mode for target 'Wimbledon' page 4 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:35:19,629 | INFO | scraper | Scrape finished with 0 records in rent mode for target 'Wimbledon' page 5 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:35:20,325 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'North London' page 1 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:21,159 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'North London' page 2 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:21,877 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'North London' page 3 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:35:23,374 | INFO | scraper | Scrape finished with 36 records in rent mode for target 'North London' page 4 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:35:24,216 | INFO | scraper | Scrape finished with 26 records in rent mode for target 'North London' page 5 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:35:25,096 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'South London' page 1 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92051', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:25,848 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'South London' page 2 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92051', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:26,977 | INFO | scraper | Scrape finished with 25 records in rent mode for target 'South London' page 3 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^92051', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
