lat,lon,osm_category,osm_type,place_name
44.316171,-72.1134288,amenity,school,four corners school
44.2778384,-72.1575957,amenity,school,walter harvey school
39.9574577,-82.9420631,amenity,restaurant,moshi sushi
39.9573654,-82.9382879,amenity,restaurant,giuseppe's ritrovo
39.9573128,-82.9319615,amenity,restaurant,noahla
39.9572524,-82.9347999,amenity,restaurant,khaab indian kitchen & bar
39.9567684,-82.9359547,amenity,restaurant,anthony's pizzeria
39.956564,-82.9277692,amenity,restaurant,bexley pizza plus
39.9566217,-82.9280846,amenity,restaurant,rubino's pizzeria
39.9567978,-82.931334,amenity,restaurant,bexley premier restaurant
39.9568077,-82.9331763,amenity,restaurant,cafe instanbul
39.9573558,-82.9385913,amenity,restaurant,newfangled kitchen
39.9483918,-82.938323,amenity,restaurant,peking dynasty express
39.9572861,-82.9348931,amenity,restaurant,zen cha cafe & tea
39.9574342,-82.939394,amenity,restaurant,market district kitchen & bar
39.9572418,-82.9345684,leisure,fitness_centre,snap fitness
-33.9498957,151.1268055,leisure,fitness_centre,anytime fitness
32.9124773,-87.1935068,amenity,restaurant,sawmeal restaurant
32.9605025,-87.1692542,leisure,fitness_centre,fit life
53.1109102,-6.1048592,highway,bus_stop,kilpedder
39.0833778,-84.5601654,highway,bus_stop,shelby st & main st
39.0839729,-84.5593262,highway,bus_stop,shelby st & pleasant st
39.0832787,-84.5587921,highway,bus_stop,boone st & pleasant st
39.0828514,-84.5609589,highway,bus_stop,shelby st & steve tanner st
39.0823898,-84.5600967,highway,bus_stop,boone st & steve tanner st
39.0845798,-84.5585701,highway,bus_stop,oak at pleasant
36.0717262,-88.1080933,amenity,school,benton county career and technical center
34.2471326,-80.6119444,amenity,school,continuous learning center
39.9320573,-75.1218423,amenity,school,bergen square school
39.9501873,-75.0844539,amenity,school,catto elementary school
39.9450022,-75.0837373,amenity,school,cramer elementary school
39.9528727,-75.0766095,amenity,school,davis elementary school
39.9330962,-75.1243512,amenity,school,lanning square elementary school
39.9546599,-75.1135745,amenity,school,mastery high school
39.9223599,-75.1037486,amenity,school,unknown
39.9453906,-75.1173977,amenity,school,saint marys school
39.9342796,-75.1190643,amenity,school,saints peter and paul school
39.9242302,-75.1117904,amenity,school,unknown
39.9324556,-75.1139199,amenity,school,j g whittier elementary school
39.9329905,-75.1246399,amenity,school,fetters alternative high school
39.9231,-75.1187,amenity,school,mickle elementary school
39.9331564,-75.1189745,amenity,school,south camden alternative middle school
39.904509,-75.1050197,amenity,school,yorkship elementary school
39.9333576,-75.1215422,amenity,school,unknown
39.9350956,-75.1222851,amenity,school,hope community charter school
39.9231433,-75.1183549,amenity,school,creative arts high school
39.9049284,-75.101017,amenity,school,freedom academy charter school
39.9453272,-75.1157737,amenity,school,environment community opportunity charter school
39.9293488,-75.1095823,amenity,school,distinctions in urban education season charter school
39.9223744,-75.1210536,amenity,school,unknown
39.9463481,-75.0914751,amenity,school,dudley elementary school
39.9520563,-75.1189514,amenity,school,holy name school
39.9466084,-75.11715,amenity,school,leap academy university charter school
39.9237622,-75.0954196,amenity,school,unknown
39.9463217,-75.0915276,amenity,school,early childhood development center school
44.2075789,-69.066426,amenity,school,elm street school
32.0029255,-87.305824,amenity,school,wilcox academy
33.5870581,-92.8384961,amenity,school,cleveland avenue school
33.5756697,-92.8315515,amenity,school,lincoln high school
33.5742809,-92.8204403,amenity,school,nelson school
33.5315024,-92.8422736,amenity,school,fairview elementary school
-34.0539764,150.6978983,amenity,restaurant,fan thai
34.2519711,-80.6427406,amenity,restaurant,hong kong buffet
34.2456169,-80.613542,amenity,restaurant,ginza
39.9516877,-75.0760658,amenity,restaurant,new ho ho restaurant
39.9520319,-75.0756097,amenity,restaurant,los playeros restaurant
39.9271159,-75.1062343,amenity,restaurant,crown fried chicken
34.2423111,-80.6150825,amenity,school,kershaw county school district continuous learning center
39.9122188,-75.0995255,amenity,restaurant,great wall
39.9459021,-75.1213683,amenity,restaurant,shirley's brass rail
39.9467617,-75.1233692,amenity,restaurant,fresh fruits & salads
39.9462476,-75.1232298,amenity,restaurant,cafe and salad works
39.9463915,-75.1241581,amenity,restaurant,george's restaurant
39.9528604,-75.1139171,amenity,restaurant,tony & ruth's steaks
39.9482874,-75.1228057,amenity,restaurant,rutgers dining hall
39.9442292,-75.1298484,amenity,restaurant,vitarelli's on the delaware cafe / bistro
39.9416732,-75.1161457,amenity,restaurant,oasis restaurant
39.9414109,-75.1166042,amenity,restaurant,cooper court
39.9556884,-75.1014035,amenity,restaurant,the kroc cafe
39.9315027,-75.1088079,amenity,restaurant,el castillo restaurant
39.9338469,-75.1057526,amenity,restaurant,dk's soul food
39.9315403,-75.1016944,amenity,restaurant,corinne's
39.9529308,-75.0967571,amenity,restaurant,arelis restaurant
39.9466528,-75.0856093,amenity,restaurant,el metate
39.9497561,-75.0795772,amenity,restaurant,new shanghai
39.9515584,-75.0771016,amenity,restaurant,pho tan phat
39.9460762,-75.0903796,amenity,restaurant,su casa quetzal
39.9460566,-75.0905164,amenity,restaurant,crown fried chicken
39.9461327,-75.0904667,amenity,restaurant,great taste 2
39.9459981,-75.0910553,amenity,restaurant,los tacos
39.9455929,-75.0921204,amenity,restaurant,jaritza restaurant
39.9460258,-75.088746,amenity,restaurant,san lucas
39.9461164,-75.0878757,amenity,restaurant,golden dragon
39.9424286,-75.0864117,amenity,restaurant,great wall
39.9122656,-75.1129004,amenity,restaurant,el paraiso restaurant
39.9223187,-75.0897947,amenity,restaurant,unknown
39.9041972,-75.1035611,amenity,restaurant,los chulos
39.9044617,-75.1027136,amenity,restaurant,bruno steaks pizza
44.2096522,-69.0661399,amenity,restaurant,long grain
44.208605,-69.062948,amenity,restaurant,waterfront restaurant
44.210463,-69.064622,amenity,restaurant,marriner's restaurant
44.2058432,-69.0615328,amenity,restaurant,natalie's
39.9354861,-75.1227588,amenity,restaurant,ana's pizzeria
36.0502955,-88.0955578,amenity,restaurant,country & western steak house
44.209809,-69.064576,amenity,restaurant,sea dog brewing co.
39.1016458,-75.5435767,amenity,restaurant,applebee's
39.1002179,-75.5441936,amenity,restaurant,bob evans
39.9449202,-75.1209174,amenity,restaurant,ck café at the lunchbox
39.9439821,-75.1026643,amenity,restaurant,ck café
39.096038,-75.5462026,amenity,restaurant,cheddar's
39.0988207,-75.544953,amenity,restaurant,texas roadhouse
39.9328796,-75.1161981,amenity,restaurant,el nuevo areno
39.9520236,-75.1152234,amenity,restaurant,la posada restaurant & ice cream parlor
39.9392111,-75.0930169,amenity,restaurant,golden pearl chinese restaurant
39.9432952,-75.0919483,amenity,school,youthbuild
39.9457799,-75.0925453,amenity,restaurant,reggae grill
39.9603006,-75.0861002,amenity,restaurant,la chamoyada jalisco
39.9475414,-75.074647,amenity,restaurant,italini's pizza & grill
39.9495029,-75.0889654,amenity,restaurant,27th st food trailer
39.9487825,-75.0883663,amenity,restaurant,la calpena
-34.0564304,150.6938116,amenity,restaurant,asian takeaway
-34.0556213,150.6941796,amenity,restaurant,unknown
44.2099935,-69.0676611,amenity,restaurant,smokestack grill
44.2099007,-69.0646256,amenity,restaurant,cappys chowder house
44.2389658,-69.1035108,amenity,restaurant,unknown
-34.0536863,150.6974322,amenity,restaurant,thai restaurant
-34.0559956,150.6935427,amenity,restaurant,chola indian restaurant
34.2198354,-80.5957048,amenity,restaurant,waffle house
34.2466855,-80.5985714,amenity,restaurant,ming's buffet
34.2462628,-80.6066021,amenity,restaurant,camden house of pizza
34.2461211,-80.60691,amenity,restaurant,steeplechase sports bar & grill
